{x=1416,m=956,a=1806,s=486}
{x=1684,m=32,a=152,s=2049}
{x=25,m=957,a=872,s=9}
{x=1544,m=2051,a=1517,s=589}
{x=885,m=25,a=97,s=188}
{x=2622,m=279,a=1318,s=1982}
{x=476,m=2218,a=240,s=2056}
{x=182,m=456,a=3180,s=51}
{x=3776,m=2081,a=1041,s=620}
{x=782,m=862,a=1576,s=2724}
{x=1990,m=781,a=1585,s=1712}
{x=1967,m=100,a=252,s=668}
{x=233,m=2213,a=234,s=863}
{x=2850,m=1333,a=1589,s=3485}
{x=53,m=2808,a=837,s=1483}
{x=1412,m=1346,a=215,s=89}
{x=820,m=149,a=558,s=29}
{x=10,m=2116,a=17,s=485}
{x=1882,m=577,a=17,s=197}
{x=430,m=118,a=484,s=744}
{x=315,m=543,a=106,s=426}
{x=979,m=1650,a=2278,s=485}
{x=533,m=2104,a=618,s=1169}
{x=861,m=2353,a=222,s=311}
{x=10,m=483,a=1058,s=2067}
{x=1856,m=65,a=119,s=503}
{x=1603,m=588,a=1634,s=1900}
{x=2132,m=3556,a=132,s=432}
{x=433,m=1815,a=1863,s=1659}
{x=1426,m=1642,a=31,s=1183}
{x=1661,m=1311,a=1219,s=1525}
{x=407,m=398,a=1508,s=696}
{x=625,m=107,a=573,s=32}
{x=1706,m=794,a=748,s=1701}
{x=62,m=127,a=268,s=1438}
{x=887,m=548,a=641,s=2761}
{x=148,m=1215,a=308,s=548}
{x=694,m=888,a=420,s=90}
{x=584,m=1902,a=435,s=1320}
{x=1445,m=122,a=2620,s=1280}
{x=3466,m=63,a=1345,s=1781}
{x=593,m=418,a=303,s=64}
{x=86,m=136,a=42,s=1172}
{x=517,m=982,a=179,s=207}
{x=230,m=1596,a=1094,s=3411}
{x=525,m=402,a=2080,s=218}
{x=557,m=465,a=396,s=364}
{x=1101,m=150,a=3113,s=83}
{x=117,m=1248,a=1167,s=546}
{x=503,m=23,a=2474,s=1727}
{x=1050,m=1765,a=265,s=86}
{x=3074,m=25,a=298,s=2259}
{x=675,m=398,a=756,s=2354}
{x=1769,m=279,a=42,s=97}
{x=2916,m=246,a=1355,s=30}
{x=11,m=822,a=20,s=3121}
{x=2936,m=213,a=276,s=190}
{x=1151,m=237,a=409,s=1399}
{x=1056,m=3357,a=1680,s=379}
{x=1452,m=367,a=1769,s=640}
{x=849,m=525,a=1041,s=517}
{x=2458,m=421,a=15,s=16}
{x=568,m=112,a=2162,s=309}
{x=26,m=16,a=249,s=655}
{x=251,m=1044,a=259,s=1588}
{x=845,m=1362,a=726,s=1968}
{x=71,m=1035,a=1144,s=320}
